n1,n2,n3,j0,xsection,xsectionerr,nevents
150.0,250.0,350.0,50.0,1.784e-05,4.4860000000000006e-08,10000.0
210.0,310.0,410.0,110.0,3.555e-05,8.225e-08,10000.0
270.0,370.0,470.0,170.0,6.088e-05,1.7949999999999999e-07,10000.0
330.0,430.0,530.0,230.0,9.457e-05,2.3280000000000002e-07,10000.0
390.0,490.0,590.0,290.0,0.0001355,3.084e-07,10000.0
450.0,550.0,650.0,350.0,0.00018240000000000002,3.456e-07,10000.0
510.0,610.0,710.0,410.0,0.00021590000000000002,2.852e-06,500.0
570.0,670.0,770.0,470.0,0.0002655,3.06e-06,500.0
630.0,730.0,830.0,530.0,0.00031,5.5739999999999995e-06,500.0
690.0,790.0,890.0,590.0,0.0003617,3.629e-06,500.0
750.0,850.0,950.0,650.0,,,
810.0,910.0,1010.0,710.0,,,
870.0,970.0,1070.0,770.0,,,
930.0,1030.0,1130.0,830.0,,,
990.0,1090.0,1190.0,890.0,,,
1050.0,1150.0,1250.0,950.0,,,
1110.0,1210.0,1310.0,1010.0,,,
1288.0,1388.0,1488.0,1188.0,,,
1466.0,1566.0,1666.0,1366.0,,,
